"time","mech.Px","mech.Py"
0,50,0
0.01,50.00000781249899,-0.012499996744789854
0.02,50.00003124998372,-0.02499997395834086
0.03,50.000070312417606,-0.03749991210943904
0.04,50.00012499973958,-0.04999979166692725
0.05,50.000195311864225,-0.0624995930997585
0.06,50.000281248681645,-0.07499929687698526
0.07,50.00038281005759,-0.08749888346781631
0.08,50.000499995833344,-0.09999833334166297
0.09,50.00063280582584,-0.11249762696813548
0.1,50.000781239827525,-0.12499674481709988
0.11,50.000945297606506,-0.13749566735867091
0.12,50.001124978906404,-0.1499943750632795
0.13,50.0013202834465,-0.16249284840171896
0.14,50.00153121092162,-0.17499106784510943
0.15,50.00175776100219,-0.18748901386499384
0.16,50.001999933334226,-0.19998666693333433
0.17,50.00225772753933,-0.2124840075225407
0.18,50.002531143214696,-0.2249810161055379
0.19,50.002820179933124,-0.23747767315573753
0.2,50.00312483724297,-0.24997395914712683
0.21,50.00344511466824,-0.26246985455425076
0.22,50.00378101170848,-0.274965339852276
0.23,50.004132527838856,-0.2874603955170336
0.24,50.00449966251012,-0.2999550020249586
0.25,50.004882415148636,-0.3124491398532605
0.26,50.005280785156344,-0.32494278947984867
0.27,50.005694771910775,-0.33743593138338923
0.28,50.006124374765115,-0.3499285460433619
0.29,50.00656959304807,-0.3624206139400421
0.3,50.00703042606401,-0.37491211555460424
0.31,50.00750687309288,-0.38740303136904686
0.32,50.00799893339022,-0.39989334186634196
0.33,50.0085066061872,-0.41238302753037104
0.34,50.00902989069057,-0.4248720688459926
0.35,50.0095687860827,-0.43736044629910253
0.36,50.01012329152158,-0.4498481403765986
0.37,50.010693406140774,-0.4623351315664692
0.38,50.0112791290495,-0.4748214003577935
0.39,50.011880459332545,-0.4873069272407733
0.4,50.012497396050335,-0.4997916927067827
0.41,50.01312993823892,-0.5122756772483648
0.42,50.013778084909944,-0.5247588613593166
0.43,50.01444183505069,-0.5372412255346468
0.44,50.01512118762401,-0.549722750270675
0.45,50.01581614156847,-0.5622034160650173
0.46,50.01652669579816,-0.5746832034166403
0.47,50.01725284920286,-0.5871620928258636
0.48,50.01799460064795,-0.5996400647944462
0.49,50.018751948974455,-0.6121170998255501
0.5,50.019524892999,-0.6245931784238046
0.51,50.02031343151388,-0.6370682810953383
0.52,50.02111756328699,-0.6495423883478217
0.53,50.02193728706187,-0.6620154806904601
0.54,50.02277260155771,-0.6744875386340325
0.55,50.02362350546934,-0.6869585426909772
0.56,50.02448999746721,-0.6994284733753275
0.57,50.02537207619742,-0.7118973112028364
0.58,50.02626974028175,-0.7243650366909371
0.59,50.02718298831755,-0.736831630358818
0.6,50.028111818877925,-0.7492970727274191
0.61,50.02905623051155,-0.7617613443195097
0.62,50.030016221742784,-0.7742244256596429
0.63,50.03099179107164,-0.7866862972742723
0.64,50.031982936973804,-0.7991469396917239
0.65,50.0329896579006,-0.8116063334422456
0.66,50.03401195227903,-0.8240644590580359
0.67,50.03504981851174,-0.8365212970732756
0.68,50.03610325497709,-0.8489768280241599
0.69,50.03717226002908,-0.8614310324489232
0.7,50.038256831997394,-0.8738838908878712
0.71,50.039356969187374,-0.8863353838834165
0.72,50.04047266988006,-0.8987854919801102
0.73,50.04160393233217,-0.9112341957246564
0.74,50.04275075477612,-0.9236814756659442
0.75,50.04391313541998,-0.9361273123551292
